from,to,friendship
66,43,Friend
66,52,Best friend
66,56,Friend
66,59,Friend
66,64,Friend
66,65,Friend
67,10,Friend
67,28,Friend
67,44,Friend
67,58,Friend
67,71,Friend
67,146,Friend
68,37,Best friend
68,53,Best friend
68,56,Friend
68,61,Friend
68,91,Best friend
69,74,Best friend
69,78,Friend
69,91,Friend
69,103,Friend
69,106,Friend
69,113,Friend
70,55,Best friend
70,59,Friend
70,88,Friend
70,89,Friend
70,119,Friend
71,10,Friend
71,58,Best friend
71,67,Best friend
71,146,Friend
71,151,Friend
72,16,Best friend
72,86,Friend
72,120,Friend
72,131,Friend
73,82,Friend
73,86,Friend
73,87,Friend
74,49,Friend
74,69,Friend
74,83,Friend
74,98,Friend
74,103,Friend
74,113,Best friend
75,76,Best friend
75,80,Friend
75,83,Friend
75,90,Friend
76,44,Friend
76,72,Best friend
76,75,Best friend
76,78,Friend
76,80,Friend
76,86,Friend
79,58,Best friend
79,67,Friend
79,77,Best friend
79,78,Friend
79,80,Best friend
79,84,Friend
80,75,Friend
80,76,Friend
80,78,Friend
80,79,Friend
80,84,Friend
80,90,Friend
81,69,Friend
81,74,Friend
81,85,Friend
81,92,Best friend
81,99,Friend
82,73,Friend
83,69,Friend
83,74,Friend
83,75,Friend
83,85,Friend
84,71,Friend
84,75,Friend
84,76,Friend
84,77,Friend
84,78,Friend
84,79,Friend
85,68,Best friend
85,83,Best friend
86,65,Friend
86,72,Friend
86,87,Friend
86,93,Friend
86,153,Friend
87,28,Friend
87,65,Best friend
87,72,Friend
87,86,Friend
87,93,Friend
87,153,Friend
88,56,Friend
88,70,Friend
88,89,Friend
89,4,Friend
89,12,Friend
89,39,Friend
89,56,Friend
89,88,Best friend
89,112,Friend
90,75,Best friend
90,76,Friend
90,80,Friend
92,81,Best friend
92,88,Best friend
93,27,Best friend
93,87,Friend
94,103,Friend
94,108,Friend
94,110,Friend
94,111,Friend
95,18,Friend
95,20,Best friend
95,21,Best friend
95,138,Friend
96,10,Friend
96,100,Friend
96,110,Friend
97,88,Friend
97,104,Friend
97,105,Friend
97,112,Friend
97,115,Friend
98,2,Best friend
98,49,Friend
98,74,Friend
98,101,Friend
98,113,Friend
98,137,Friend
99,46,Friend
99,94,Friend
99,111,Friend
99,133,Best friend
100,53,Friend
100,68,Friend
100,85,Best friend
100,116,Friend
101,44,Friend
101,51,Best friend
101,113,Friend
101,131,Friend
102,94,Best friend
102,109,Best friend
103,69,Best friend
103,74,Friend
103,106,Best friend
103,113,Friend
104,9,Friend
104,13,Friend
104,115,Best friend
105,56,Best friend
105,61,Friend
105,88,Friend
105,89,Friend
105,104,Friend
105,112,Friend
106,69,Friend
106,74,Friend
106,103,Friend
106,113,Friend
107,114,Friend
107,123,Best friend
108,95,Friend
108,106,Friend
108,116,Friend
109,94,Friend
109,111,Best friend
111,94,Friend
111,109,Best friend
112,88,Friend
112,89,Friend
112,97,Friend
112,104,Friend
112,105,Friend
112,115,Friend
113,69,Friend
113,74,Best friend
113,98,Friend
113,101,Friend
113,106,Friend
113,114,Friend
114,107,Best friend
114,123,Friend
115,13,Friend
115,104,Friend
115,109,Friend
115,111,Friend
116,2,Friend
116,106,Friend
116,108,Friend
117,114,Friend
117,148,Friend
118,104,Friend
118,115,Friend
118,127,Best friend
118,135,Friend
119,70,Best friend
119,125,Friend
120,62,Friend
120,131,Friend
121,132,Best friend
121,134,Friend
121,139,Friend
122,92,Friend
122,129,Friend
122,136,Friend
122,142,Friend
123,107,Best friend
123,114,Friend
124,151,Friend
125,66,Best friend
125,115,Friend
125,119,Friend
126,16,Best friend
126,120,Friend
126,131,Best friend
127,59,Friend
127,115,Friend
127,118,Best friend
127,135,Friend
128,63,Friend
128,64,Friend
130,32,Friend
130,117,Friend
130,122,Friend
130,140,Friend
131,16,Friend
131,101,Friend
131,120,Friend
131,126,Friend
132,121,Best friend
132,134,Friend
132,139,Friend
133,46,Best friend
133,60,Friend
133,99,Friend
133,104,Friend
133,115,Friend
134,121,Friend
134,132,Friend
134,147,Friend
135,59,Friend
135,127,Friend
137,2,Friend
137,49,Friend
137,98,Best friend
137,122,Friend
137,140,Friend
137,141,Friend
138,18,Best friend
138,95,Best friend
138,140,Best friend
140,129,Friend
140,138,Friend
140,140,Friend
140,142,Friend
141,32,Friend
141,120,Friend
141,130,Friend
142,117,Friend
142,120,Friend
142,129,Friend
142,136,Friend
142,141,Friend
143,40,Friend
143,134,Friend
143,147,Friend
144,149,Friend
144,151,Best friend
145,1,Friend
145,28,Friend
145,33,Friend
145,56,Friend
145,139,Best friend
146,44,Best friend
146,58,Best friend
146,67,Best friend
146,71,Best friend
146,149,Best friend
147,40,Friend
147,134,Best friend
147,143,Friend
148,2,Friend
148,37,Friend
148,38,Friend
148,91,Friend
149,35,Friend
149,36,Friend
149,78,Friend
150,35,Friend
150,36,Friend
150,144,Friend
150,148,Friend
150,149,Friend
150,151,Best friend
151,35,Friend
151,36,Best friend
151,94,Friend
151,144,Friend
151,149,Friend
151,150,Best friend
